Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag","District 09 Estimate","District 09 Flag","District 10 Estimate","District 10 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",301879,G,287921,G,219391,G,210316,G,248032,G,209708,G,533153,G,186462,G,492917,G,224563,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",800,H,420,H,2491,G,4952,G,658,H,1028,G,699,G,2987,H,62,G,571,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",331,G,89,H,293,J,209,G,385,H,71,G,31,J,270,G,0,N,162,G
Business,"Paid employees for pay period including March 12",Utilities,1578,J,427,J,475,G,427,G,1945,H,550,H,167,J,2779,J,1639,J,339,H
Business,"Paid employees for pay period including March 12",Construction,30470,G,24215,G,21946,G,17145,G,15640,G,12159,G,23717,G,20024,G,27430,G,22060,G
Business,"Paid employees for pay period including March 12",Manufacturing,27844,G,63552,H,26260,G,24457,G,22291,G,9798,G,16792,G,16615,G,46576,G,14809,G
Business,"Paid employees for pay period including March 12","Wholesale trade",13770,G,9293,G,10532,G,13139,G,12071,G,4725,G,16739,G,12711,G,30419,G,10636,G
Business,"Paid employees for pay period including March 12","Retail trade",25517,G,42772,G,29010,G,30817,G,34383,G,34309,G,42464,G,26726,G,43130,G,35379,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",7161,G,8919,G,7296,G,9017,G,7394,G,2830,G,12199,G,6395,G,38024,G,13681,G
Business,"Paid employees for pay period including March 12",Information,58088,H,5683,G,3627,H,2355,G,5591,G,2260,G,40064,G,4112,H,32487,G,3836,H
Business,"Paid employees for pay period including March 12","Finance and insurance",6690,G,12162,H,7912,G,4786,G,12794,G,6982,G,29820,G,3418,H,17485,G,7736,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4460,G,5054,G,3674,G,2900,G,4603,G,3770,G,14229,G,3053,G,10366,G,4155,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",31814,G,12489,G,10629,G,12622,H,11138,G,11530,G,70124,G,6805,G,32303,G,7854,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",2974,H,1289,H,7053,H,1223,H,3425,G,5485,G,71613,H,6026,H,36799,H,4032,J
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",14389,G,11885,G,12324,G,16241,H,11479,G,12257,G,19429,G,7884,G,31856,G,10790,G
Business,"Paid employees for pay period including March 12","Educational services",6647,G,2393,G,2514,G,2325,G,9612,G,4061,H,12456,G,2409,H,9263,G,5072,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",27715,G,39351,G,36250,G,34934,G,53579,G,52338,G,68086,G,24413,G,67183,G,41095,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5015,G,4371,G,5049,H,4252,G,4257,G,5447,G,15722,G,9234,G,7869,G,6700,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",25828,G,31318,G,23393,G,20808,G,26193,G,28551,G,57650,G,22391,G,39053,G,24733,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",10759,G,12184,G,8611,G,7647,G,10545,G,11453,G,21096,G,8184,G,20929,G,10895,G
Business,"Paid employees for pay period including March 12","Industries not classified",29,J,55,G,52,H,60,J,49,J,104,H,56,J,26,J,33,H,28,H
Business,"Annual payroll ($1,000)","Total for all sectors",32479000,H,15920061,H,11424727,G,10287557,G,11897091,G,10255197,G,48363722,G,10063854,G,38483905,G,10592328,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",52093,H,27646,H,129909,G,216151,G,42045,H,66681,G,76285,G,135445,H,5413,H,35310,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",25620,G,5125,H,26230,J,12094,G,34593,H,4161,H,2364,J,19607,H,0,N,10455,G
Business,"Annual payroll ($1,000)",Utilities,171607,J,45255,J,51760,G,40656,G,218944,H,53114,H,20193,H,360317,J,184545,J,35404,G
Business,"Annual payroll ($1,000)",Construction,2127771,G,1659618,G,1477100,G,1075853,G,985034,G,732647,G,2058750,G,1320171,G,2206639,G,1556028,G
Business,"Annual payroll ($1,000)",Manufacturing,2158220,G,5183526,H,1595273,G,1394690,G,1287447,G,487070,G,1044944,G,1113843,H,3832178,H,820855,G
Business,"Annual payroll ($1,000)","Wholesale trade",1601299,H,593402,G,834022,H,769084,G,720510,G,264147,G,1427359,G,740661,G,2473278,G,608804,G
Business,"Annual payroll ($1,000)","Retail trade",927129,G,1424202,G,1017053,G,992415,G,1140056,G,1167878,G,1758986,G,907484,G,1551103,G,1305684,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",319731,G,419680,G,386237,G,439849,G,336023,G,137125,G,1041109,G,353987,G,2125083,G,661127,H
Business,"Annual payroll ($1,000)",Information,16980701,H,358416,G,232784,G,118743,H,372793,G,145483,G,7971582,G,596521,H,7576458,G,214642,H
Business,"Annual payroll ($1,000)","Finance and insurance",759543,G,1172226,H,876283,G,359344,G,963469,G,633746,G,3492470,G,284719,G,2094370,H,612605,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",285889,G,251093,H,175095,G,111115,G,190481,G,173882,G,1055766,G,159172,G,676736,G,200152,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",3368825,G,875988,G,725889,G,1044884,H,751823,G,832454,G,8732522,G,488455,G,3201810,G,469867,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",249488,H,105069,H,630887,H,84624,H,246855,G,344853,H,10795343,H,882791,H,3937454,H,138897,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",767104,G,579042,G,452113,G,1078869,H,396400,G,605924,G,1108486,G,408606,H,1972503,H,395952,G
Business,"Annual payroll ($1,000)","Educational services",182800,G,59559,G,57526,G,72526,G,267899,G,114232,H,456418,G,48015,H,351261,G,133420,H
Business,"Annual payroll ($1,000)","Health care and social assistance",1518831,G,1984566,G,1928488,G,1816655,G,3095006,G,3487667,G,4558865,G,1307970,G,4176373,G,2319678,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",82740,G,103642,H,114195,H,76346,G,65012,G,93644,G,430640,G,216256,G,453186,H,175985,G
Business,"Annual payroll ($1,000)","Accommodation and food services",558370,G,654155,G,447290,G,369545,G,468325,G,555256,G,1174979,G,448633,G,831506,G,499921,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",339892,G,415790,G,264470,G,212260,G,313094,G,352146,G,1154748,G,269654,G,831896,G,396643,G
Business,"Annual payroll ($1,000)","Industries not classified",1347,H,2061,H,2123,G,1854,G,1282,G,3087,G,1913,H,1547,J,1679,G,899,H
Business,"Total Establishments","Total for all sectors",20149,X,20608,X,17269,X,15054,X,17822,X,17703,X,29196,X,16749,X,23837,X,15840,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",173,X,158,X,237,X,179,X,134,X,196,X,122,X,106,X,21,X,75,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",27,X,15,X,30,X,13,X,27,X,12,X,5,X,22,X,0,N,9,X
Business,"Total Establishments",Utilities,35,X,37,X,38,X,38,X,48,X,37,X,10,X,30,X,13,X,28,X
Business,"Total Establishments",Construction,3253,X,3155,X,2681,X,2095,X,2203,X,2288,X,1868,X,3097,X,2167,X,2285,X
Business,"Total Establishments",Manufacturing,836,X,878,X,747,X,585,X,758,X,522,X,753,X,510,X,755,X,443,X
Business,"Total Establishments","Wholesale trade",1025,X,795,X,759,X,751,X,890,X,519,X,1109,X,766,X,1476,X,625,X
Business,"Total Establishments","Retail trade",1658,X,2643,X,1825,X,2033,X,2110,X,2211,X,2554,X,1763,X,2218,X,1872,X
Business,"Total Establishments","Transportation and warehousing",503,X,478,X,697,X,754,X,481,X,374,X,433,X,673,X,1006,X,655,X
Business,"Total Establishments",Information,502,X,326,X,308,X,232,X,353,X,305,X,1031,X,270,X,532,X,249,X
Business,"Total Establishments","Finance and insurance",888,X,1005,X,897,X,703,X,1123,X,928,X,1446,X,664,X,1329,X,799,X
Business,"Total Establishments","Real estate and rental and leasing",1425,X,1222,X,983,X,881,X,1015,X,1149,X,2296,X,1068,X,1806,X,1028,X
Business,"Total Establishments","Professional, scientific, and technical services",2694,X,1977,X,1700,X,1152,X,1746,X,1875,X,5563,X,1658,X,2891,X,1406,X
Business,"Total Establishments","Management of companies and enterprises",86,X,78,X,88,X,47,X,95,X,73,X,268,X,61,X,244,X,65,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1230,X,1073,X,931,X,708,X,934,X,1000,X,1272,X,987,X,1260,X,853,X
Business,"Total Establishments","Educational services",401,X,263,X,198,X,161,X,216,X,225,X,594,X,273,X,509,X,179,X
Business,"Total Establishments","Health care and social assistance",1871,X,2291,X,1847,X,1695,X,2157,X,2141,X,3293,X,1630,X,3104,X,2001,X
Business,"Total Establishments","Arts, entertainment, and recreation",301,X,333,X,230,X,214,X,273,X,301,X,687,X,315,X,343,X,218,X
Business,"Total Establishments","Accommodation and food services",1566,X,1926,X,1465,X,1392,X,1571,X,1755,X,3197,X,1412,X,2080,X,1404,X
Business,"Total Establishments","Other services (except public administration)",1643,X,1912,X,1568,X,1375,X,1646,X,1749,X,2634,X,1418,X,2045,X,1613,X
Business,"Total Establishments","Industries not classified",32,X,43,X,40,X,46,X,42,X,43,X,61,X,26,X,37,X,33,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
