Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
Education,"School Enrollment","Population 3 years and over enrolled in school",210124,"(+/- 6927 )",177573,"(+/- 5455 )",187322,"(+/- 6662 )",177585,"(+/- 6100 )",168450,"(+/- 5575 )",185759,"(+/- 4909 )",196128,"(+/- 5871 )",174506,"(+/- 6407 )",150003,"(+/- 4816 )",243685,"(+/- 7535 )",216050,"(+/- 8584 )"
Education,"School Enrollment","Nursery school, preschool",8578,"(+/- 1705 )",8314,"(+/- 1638 )",8124,"(+/- 1440 )",8019,"(+/- 1862 )",7977,"(+/- 1351 )",7704,"(+/- 1505 )",10391,"(+/- 1576 )",11195,"(+/- 1999 )",6205,"(+/- 1465 )",13726,"(+/- 2096 )",10472,"(+/- 2036 )"
Education,"School Enrollment",Kindergarten,10739,"(+/- 1590 )",7067,"(+/- 1270 )",8032,"(+/- 1855 )",7362,"(+/- 1518 )",8551,"(+/- 1550 )",9198,"(+/- 1878 )",10579,"(+/- 2005 )",9271,"(+/- 1761 )",5440,"(+/- 1362 )",14732,"(+/- 1947 )",9690,"(+/- 1699 )"
Education,"School Enrollment","Elementary school (grades 1-8)",89679,"(+/- 3849 )",70747,"(+/- 3554 )",71951,"(+/- 3369 )",69852,"(+/- 3828 )",63301,"(+/- 3171 )",67546,"(+/- 3447 )",90532,"(+/- 3626 )",69579,"(+/- 4217 )",52107,"(+/- 2946 )",102151,"(+/- 4523 )",85763,"(+/- 4686 )"
Education,"School Enrollment","High school (grades 9-12)",47791,"(+/- 3123 )",39848,"(+/- 2521 )",38780,"(+/- 2795 )",35267,"(+/- 3187 )",34934,"(+/- 2754 )",33448,"(+/- 2129 )",46102,"(+/- 3799 )",35090,"(+/- 2454 )",28751,"(+/- 2363 )",61298,"(+/- 3212 )",44943,"(+/- 3237 )"
Education,"School Enrollment","College or graduate school",53337,"(+/- 3672 )",51597,"(+/- 3809 )",60435,"(+/- 4627 )",57085,"(+/- 4219 )",53687,"(+/- 3568 )",67863,"(+/- 4019 )",38524,"(+/- 3777 )",49371,"(+/- 3676 )",57500,"(+/- 3514 )",51778,"(+/- 3896 )",65182,"(+/- 5518 )"
Education,"Educational Attainment","Population 25 years and over",569781,"(+/- 7640 )",509250,"(+/- 4703 )",501756,"(+/- 6690 )",547198,"(+/- 8742 )",527701,"(+/- 5235 )",519055,"(+/- 4425 )",582025,"(+/- 7990 )",566619,"(+/- 8556 )",487974,"(+/- 3960 )",592960,"(+/- 7994 )",538353,"(+/- 11954 )"
Education,"Educational Attainment","Less than 9th grade",20102,"(+/- 3209 )",10861,"(+/- 1826 )",13775,"(+/- 2521 )",21034,"(+/- 2923 )",18228,"(+/- 2602 )",18611,"(+/- 2640 )",19866,"(+/- 3139 )",22659,"(+/- 3778 )",25550,"(+/- 2792 )",18360,"(+/- 2841 )",20355,"(+/- 3189 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",27643,"(+/- 3001 )",20053,"(+/- 2494 )",31156,"(+/- 3323 )",33851,"(+/- 2876 )",38565,"(+/- 2957 )",31004,"(+/- 3118 )",28198,"(+/- 3314 )",16080,"(+/- 2762 )",38672,"(+/- 3112 )",20339,"(+/- 2921 )",17010,"(+/- 2588 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",140335,"(+/- 6937 )",115159,"(+/- 5191 )",136985,"(+/- 5918 )",154307,"(+/- 6785 )",160929,"(+/- 5922 )",171009,"(+/- 6127 )",137360,"(+/- 6858 )",66519,"(+/- 5715 )",170907,"(+/- 6903 )",89854,"(+/- 5591 )",77235,"(+/- 5235 )"
Education,"Educational Attainment","Some college, no degree",107703,"(+/- 5916 )",111302,"(+/- 5743 )",118163,"(+/- 6151 )",112919,"(+/- 5457 )",101529,"(+/- 5410 )",97786,"(+/- 4863 )",101238,"(+/- 5523 )",64064,"(+/- 4225 )",98988,"(+/- 5349 )",82612,"(+/- 4770 )",72937,"(+/- 5508 )"
Education,"Educational Attainment","Associate's degree",45850,"(+/- 3477 )",45974,"(+/- 3972 )",49023,"(+/- 3419 )",42835,"(+/- 3924 )",45936,"(+/- 3920 )",39447,"(+/- 3183 )",47177,"(+/- 4352 )",26864,"(+/- 2823 )",46265,"(+/- 2764 )",33308,"(+/- 3058 )",33721,"(+/- 3429 )"
Education,"Educational Attainment","Bachelor's degree",133729,"(+/- 6117 )",128619,"(+/- 5874 )",92209,"(+/- 4771 )",113046,"(+/- 6042 )",95038,"(+/- 4736 )",96444,"(+/- 5180 )",143746,"(+/- 7734 )",173790,"(+/- 6882 )",66212,"(+/- 4066 )",182600,"(+/- 6409 )",169442,"(+/- 6567 )"
Education,"Educational Attainment","Graduate or professional degree",94419,"(+/- 4883 )",77282,"(+/- 5032 )",60445,"(+/- 4209 )",69206,"(+/- 3617 )",67476,"(+/- 4067 )",64754,"(+/- 3789 )",104440,"(+/- 6667 )",196643,"(+/- 5976 )",41380,"(+/- 3257 )",165887,"(+/- 6077 )",147653,"(+/- 5779 )"
Education,"Educational Attainment","Percent high school graduate or higher",91.6,"(+/- 0.8 )",93.9,"(+/- 0.6 )",91.0,"(+/- 0.7 )",90.0,"(+/- 0.8 )",89.2,"(+/- 0.7 )",90.4,"(+/- 0.8 )",91.7,"(+/- 0.7 )",93.2,"(+/- 0.8 )",86.8,"(+/- 0.8 )",93.5,"(+/- 0.7 )",93.1,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",40.0,"(+/- 1.4 )",40.4,"(+/- 1.2 )",30.4,"(+/- 1.2 )",33.3,"(+/- 1.2 )",30.8,"(+/- 1.2 )",31.1,"(+/- 1.1 )",42.6,"(+/- 1.3 )",65.4,"(+/- 1.2 )",22.0,"(+/- 1.1 )",58.8,"(+/- 1.2 )",58.9,"(+/- 1.3 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag","District 09 Estimate","District 09 Flag","District 10 Estimate","District 10 Flag","District 11 Estimate","District 11 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",235380,G,235871,G,350922,G,287592,G,214760,G,310648,G,311909,G,380881,G,203710,G,381496,G,493201,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",876,H,288,G,141,G,265,G,1396,G,162,G,243,H,0,N,544,G,162,J,209,J
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",259,H,0,N,52,J,235,G,310,G,396,J,266,G,0,N,3235,G,320,H,16,G
Business,"Paid employees for pay period including March 12",Utilities,895,G,436,G,852,H,4102,J,920,H,1254,J,2609,J,1648,H,792,J,369,H,493,H
Business,"Paid employees for pay period including March 12",Construction,25323,G,14095,G,16386,G,19540,G,15615,G,17542,G,19249,G,14210,G,8120,G,27832,G,18261,G
Business,"Paid employees for pay period including March 12",Manufacturing,11023,G,11389,G,47650,H,26170,G,24656,G,44229,G,9485,G,3690,G,39552,H,20009,G,3368,H
Business,"Paid employees for pay period including March 12","Wholesale trade",11553,G,4954,G,11603,G,13255,G,5493,G,9971,G,11157,G,5460,G,7829,G,10577,G,9769,G
Business,"Paid employees for pay period including March 12","Retail trade",39901,G,35087,G,43567,G,35497,G,32611,G,40575,G,44826,G,36534,G,34126,G,45122,G,40735,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",7730,H,6792,H,13303,H,23063,G,5225,G,15804,G,6236,G,10974,H,6602,G,20429,G,4471,G
Business,"Paid employees for pay period including March 12",Information,2591,G,3989,G,6255,H,3654,G,3653,G,4003,H,7811,G,12700,G,3190,G,13080,G,34671,G
Business,"Paid employees for pay period including March 12","Finance and insurance",9693,H,13104,G,12462,G,12771,H,6815,H,13587,G,36456,G,9544,G,5845,G,9789,G,28462,H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",3189,H,6827,G,6991,H,5217,G,2837,G,3803,G,5506,G,7740,G,1890,G,4929,G,7958,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",21200,G,23703,G,26163,G,18423,G,13044,G,12157,G,26072,G,103075,G,7991,G,79221,G,161942,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",4368,G,2777,G,10509,H,4471,H,1745,G,8129,H,15651,H,6455,G,1368,G,6955,G,19352,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",13619,G,16761,G,27472,G,16086,G,12297,G,13354,G,21142,G,40283,G,8662,G,33598,G,38930,G
Business,"Paid employees for pay period including March 12","Educational services",3608,H,5138,G,5962,H,6061,G,6198,G,19658,H,4393,G,8710,H,2876,G,7755,G,10357,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",31351,G,30275,G,65759,H,44923,G,39685,G,52522,G,44641,G,35767,G,36959,G,41259,G,52791,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",7559,G,9383,H,4561,G,4793,G,4059,G,3860,G,7706,G,6873,G,1812,G,7493,G,8577,H
Business,"Paid employees for pay period including March 12","Accommodation and food services",28192,G,39459,G,37536,G,33096,G,26279,G,36501,G,31454,G,43208,G,23802,G,35902,G,36051,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",12406,G,11387,G,13653,G,15924,G,11860,G,13083,G,16970,G,33913,G,8481,G,16641,G,16759,G
Business,"Paid employees for pay period including March 12","Industries not classified",44,G,27,H,45,J,46,H,62,G,58,G,36,J,41,J,34,J,54,H,29,J
Business,"Annual payroll ($1,000)","Total for all sectors",10448073,G,9848038,G,17639721,G,15098576,G,9698247,G,13304785,G,17563710,G,27722462,G,8007190,G,24182774,G,43171990,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",68462,H,14070,G,38957,H,15603,G,60739,G,5327,G,9939,G,0,N,19070,G,5222,H,20871,J
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",17230,H,0,N,2743,J,17627,G,19074,G,22398,H,19073,G,0,N,214893,G,30151,H,2050,H
Business,"Annual payroll ($1,000)",Utilities,83763,G,45810,G,85564,H,544053,J,91435,H,111868,J,328946,J,275776,H,64176,J,40526,H,52753,H
Business,"Annual payroll ($1,000)",Construction,1448661,G,809122,G,939084,G,1203279,G,745416,G,916219,G,1091024,G,1078499,G,362402,G,1869236,G,1310967,G
Business,"Annual payroll ($1,000)",Manufacturing,532344,G,583036,G,3160764,H,1661825,G,1251748,G,2465776,G,596014,G,187581,G,2051060,H,1522952,G,218754,H
Business,"Annual payroll ($1,000)","Wholesale trade",716461,G,328621,G,722034,G,803614,G,295648,G,539822,G,874915,G,390455,G,403006,G,728939,G,1629799,G
Business,"Annual payroll ($1,000)","Retail trade",1156182,G,937705,G,1155594,G,1024849,G,918710,G,1069016,G,1279206,G,1217693,G,900860,G,1435705,G,1293296,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",314765,G,331233,H,735853,G,1211921,G,221411,G,753867,G,275062,G,751765,H,305480,G,875144,H,226660,G
Business,"Annual payroll ($1,000)",Information,135363,G,196319,H,410943,H,220552,G,279653,G,253839,H,637392,G,1354177,G,154112,G,1622919,G,5453817,G
Business,"Annual payroll ($1,000)","Finance and insurance",607729,G,1034870,G,937773,G,1614779,G,607123,G,885813,G,4393292,H,1296803,G,316630,G,934961,G,4422609,H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",163925,H,346831,G,376780,G,290109,G,130053,G,146356,G,347484,G,631384,G,71095,G,319522,G,638999,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1767930,G,1718513,G,1882120,G,1548032,G,988763,G,823077,G,1818666,G,12281312,G,453098,G,8358328,G,17838886,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",320065,G,187340,H,1125406,H,469726,H,134304,H,598107,H,1531700,H,836243,G,88304,G,685543,G,2452977,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",608259,G,520954,G,1126926,G,553226,G,371334,G,450589,G,901483,G,1926479,G,199973,G,1692473,H,2132703,G
Business,"Annual payroll ($1,000)","Educational services",119435,H,195115,G,209558,H,260769,H,213092,G,645459,H,142452,G,423117,G,117189,G,237506,H,616977,G
Business,"Annual payroll ($1,000)","Health care and social assistance",1470741,G,1474358,G,3721764,H,2544959,G,2487380,G,2661511,G,2204944,G,1898507,G,1720892,G,2157228,G,3241822,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",107517,G,156372,H,68269,G,90208,G,114077,G,60525,G,114791,G,136614,G,28690,G,389292,H,174340,H
Business,"Annual payroll ($1,000)","Accommodation and food services",446353,G,648053,G,531907,G,479179,G,399237,G,546175,G,466759,G,798528,G,319946,G,623085,G,634955,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",360901,G,318771,G,406620,G,542915,G,367649,G,348121,G,528734,G,2231338,G,215471,G,652078,G,807360,G
Business,"Annual payroll ($1,000)","Industries not classified",1987,G,945,G,1062,G,1351,G,1401,G,920,G,1834,G,1661,G,843,G,1964,G,1395,H
Business,"Total Establishments","Total for all sectors",17739,X,16729,X,16927,X,16194,X,16762,X,18202,X,19614,X,20431,X,13815,X,24421,X,22461,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",71,X,37,X,16,X,45,X,214,X,56,X,61,X,0,N,79,X,38,X,3,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",19,X,0,N,8,X,18,X,28,X,24,X,16,X,0,N,92,X,11,X,3,X
Business,"Total Establishments",Utilities,36,X,17,X,25,X,64,X,44,X,43,X,30,X,14,X,61,X,18,X,16,X
Business,"Total Establishments",Construction,2777,X,1817,X,1359,X,1585,X,2146,X,1938,X,2291,X,1238,X,1106,X,2381,X,1551,X
Business,"Total Establishments",Manufacturing,452,X,292,X,418,X,548,X,635,X,669,X,361,X,214,X,642,X,459,X,216,X
Business,"Total Establishments","Wholesale trade",694,X,462,X,660,X,726,X,480,X,685,X,760,X,433,X,500,X,746,X,431,X
Business,"Total Establishments","Retail trade",2381,X,2213,X,2593,X,2254,X,2499,X,2729,X,2493,X,1980,X,2528,X,2338,X,2045,X
Business,"Total Establishments","Transportation and warehousing",494,X,336,X,576,X,668,X,503,X,627,X,497,X,344,X,479,X,647,X,295,X
Business,"Total Establishments",Information,216,X,201,X,272,X,238,X,307,X,314,X,358,X,465,X,269,X,563,X,674,X
Business,"Total Establishments","Finance and insurance",748,X,979,X,915,X,818,X,904,X,1210,X,1414,X,892,X,903,X,982,X,1355,X
Business,"Total Establishments","Real estate and rental and leasing",836,X,1130,X,1002,X,924,X,772,X,887,X,1035,X,1250,X,516,X,1231,X,1163,X
Business,"Total Establishments","Professional, scientific, and technical services",2143,X,2106,X,1584,X,1679,X,1704,X,1532,X,2458,X,5021,X,1085,X,6289,X,5898,X
Business,"Total Establishments","Management of companies and enterprises",76,X,93,X,109,X,85,X,62,X,118,X,158,X,124,X,35,X,186,X,234,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1125,X,965,X,940,X,842,X,882,X,896,X,1215,X,1172,X,524,X,1382,X,1141,X
Business,"Total Establishments","Educational services",230,X,247,X,201,X,226,X,234,X,226,X,299,X,412,X,113,X,494,X,488,X
Business,"Total Establishments","Health care and social assistance",1560,X,1711,X,2190,X,1617,X,1586,X,1795,X,2209,X,2059,X,1675,X,2359,X,2817,X
Business,"Total Establishments","Arts, entertainment, and recreation",299,X,324,X,204,X,261,X,294,X,293,X,315,X,299,X,180,X,382,X,287,X
Business,"Total Establishments","Accommodation and food services",1509,X,2018,X,1804,X,1595,X,1387,X,1776,X,1523,X,1923,X,1302,X,1753,X,1828,X
Business,"Total Establishments","Other services (except public administration)",2036,X,1754,X,2022,X,1961,X,2035,X,2345,X,2095,X,2537,X,1697,X,2115,X,1971,X
Business,"Total Establishments","Industries not classified",37,X,27,X,29,X,40,X,46,X,39,X,26,X,50,X,29,X,47,X,45,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
